BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,2
6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,2
3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,2
7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,2
12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,2
7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,2
6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,2
1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,2
4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,1012.415961,0.0,8,2
2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,2
6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,2503.40234,0.0,12,2
7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.873897,1876.262988,0.0,12,2
8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,2074.581541,0.0,12,2
6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,2
1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000.0,3056.424974,910.707525,0.090909,11,2
4986.400804,1.0,0.0,0.0,0.0,5439.467563,0.0,0.0,0.0,0.583333,40,0,8000.0,1241.538024,1439.230899,0.0,12,2
6644.201651,1.0,4478.75,2721.59,1757.16,7205.520805,1.0,0.916667,1.0,0.583333,21,64,9000.0,10857.94321,2469.571326,0.083333,12,2
6458.56209,1.0,0.0,0.0,0.0,3360.228794,0.0,0.0,0.0,0.25,11,0,7000.0,1277.76778,2760.115734,0.0,12,2
14224.11541,1.0,0.0,0.0,0.0,4614.427403,0.0,0.0,0.0,0.333333,9,0,19000.0,3066.614272,3406.258999,0.0,12,2
11167.23403,1.0,150.64,150.64,0.0,8362.154254,0.083333,0.083333,0.0,0.5,14,1,17000.0,2606.059389,2894.077159,0.0,12,2
9354.06045,1.0,796.33,796.33,0.0,13748.47131,0.083333,0.083333,0.0,0.666667,16,1,13000.0,10664.65866,2600.875721,0.083333,12,2
5347.814547,1.0,0.0,0.0,0.0,4002.353384,0.0,0.0,0.0,0.5,9,0,7000.0,0.0,312.343947,0.0,12,2
7679.62904,1.0,4059.93,0.0,4059.93,555.469352,0.583333,0.0,0.5,0.166667,7,14,7000.0,3685.61062,12854.9397,0.0,12,2
5837.105453,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15,46,7900.0,0.0,312.343947,0.0,12,2
2933.240476,1.0,0.0,0.0,0.0,2040.433925,0.0,0.0,0.0,0.583333,13,0,3000.0,2431.578544,1739.74883,0.0,12,2
2881.253586,1.0,117.0,0.0,117.0,17661.49486,0.25,0.0,0.166667,0.75,28,3,4500.0,17301.83238,931.618475,0.166667,12,2
5698.539876,1.0,47.55,0.0,47.55,2039.52804,0.166667,0.0,0.166667,0.75,14,2,6000.0,2976.579866,3463.174962,0.0,12,2
8350.145568,1.0,1989.28,842.8,1146.48,893.757903,0.333333,0.166667,0.166667,0.083333,2,8,14000.0,4720.900413,2557.044576,0.0,12,2
7201.736985,1.0,987.1,862.1,125.0,5468.620604,0.333333,0.333333,0.083333,0.25,16,9,10500.0,1941.541158,2391.987571,0.0,12,2
6467.885013,1.0,1464.14,978.71,485.43,3947.86784,0.833333,0.583333,0.666667,0.416667,10,23,11500.0,1658.563509,1887.413517,0.0,12,2
5635.860679,1.0,393.62,153.72,239.9,5933.467329,0.916667,0.916667,0.166667,0.75,24,15,10000.0,1919.630466,1731.549385,0.0,12,2
2053.441598,1.0,493.85,441.35,52.5,1738.33378,0.5,0.333333,0.25,0.833333,16,10,2000.0,2795.059574,2661.324808,0.0,12,2
7623.224897,1.0,300.0,0.0,300.0,2800.728343,0.5,0.0,0.416667,0.25,3,6,12000.0,1975.974183,1774.584333,0.0,12,2
3215.511032,0.818182,1112.2,1112.2,0.0,7616.064965,0.25,0.25,0.0,0.25,4,4,7200.0,0.0,312.343947,0.0,12,2
